code,conditions,garment
33A2=TGES122,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband - Grosgrain""}}]",Tux Pants
33A2=TGES103,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband - Matte Black""}}]",Tux Pants
33A2=TGES102,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband - Glossy Black""}}]",Tux Pants
331F=DXN044A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Stripe - Std. Black""}}]",Tux Pants
331F=DXN032A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Stripe - Grey""}}]",Tux Pants
331F=DXN047A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Stripe - Navy""}}]",Tux Pants
331F=DXN031A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Stripe - Red""}}]",Tux Pants
331F=DXN045A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Stripe - White""}}]",Tux Pants
331F=DXN033A,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Stripe - Ivory""}}]",Tux Pants
331F=TGES103,"[{""Satin"":{""condition"":""equals"",""value"":""Satin Stripe - Matte Black""}}]",Tux Pants
"33A2, 331F= DXN045A","[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband & Stripe - White""}}]",Tux Pants
"33A2, 331F= DXN033A","[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband & Stripe - Ivory""}}]",Tux Pants
"33A2, 331F=TGES122","[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband & Stripe - Grosgrain""}}]",Tux Pants
"33A2, 331F=TGES103","[{""Satin"":{""condition"":""equals"",""value"":""Satin Waistband & Stripe - Matte Black""}}]",Tux Pants
5AL1,"[{""Collar Style"":{""condition"":""contains"",""value"":""Pointed""}},{""Collar Style"":{""condition"":""contains"",""value"":""Short""}}]",Shirt
5AL2,"[{""Collar Style"":{""condition"":""contains"",""value"":""Pointed""}},{""Collar Style"":{""condition"":""contains"",""value"":""Medium""}}]",Shirt
5281,"[{""Collar Style"":{""condition"":""contains"",""value"":""No Button""}}]",Shirt
5260,"[{""Collar Style"":{""condition"":""contains"",""value"":""Wingtip""}}]",Shirt
5412,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Round""}},{""Cuff Style"":{""condition"":""contains"",""value"":""2 Button""}}]",Shirt
5400,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Square""}},{""Cuff Style"":{""condition"":""contains"",""value"":""1 Button""}}]",Shirt
5402,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Square""}},{""Cuff Style"":{""condition"":""contains"",""value"":""2 Button""}}]",Shirt
545D,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Square""}},{""Cuff Style"":{""condition"":""contains"",""value"":""French Double Fold""}}]",Shirt
5406,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Square""}},{""Cuff Style"":{""condition"":""contains"",""value"":""French Single Fold""}}]",Shirt
5430,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Mitred""}},{""Cuff Style"":{""condition"":""contains"",""value"":""1 Button""}}]",Shirt
5432,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Mitred""}},{""Cuff Style"":{""condition"":""contains"",""value"":""2 Button""}}]",Shirt
545E,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Mitred""}},{""Cuff Style"":{""condition"":""contains"",""value"":""French Double Fold""}}]",Shirt
5408,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Mitred""}},{""Cuff Style"":{""condition"":""contains"",""value"":""French Single Fold""}}]",Shirt
5706,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Stiff""}}]",Shirt
5705,"[{""Cuff Style"":{""condition"":""contains"",""value"":""Soft""}}]",Shirt
538C,"[{""Pockets"":{""condition"":""contains"",""value"":""Left""}},{""Pockets"":{""condition"":""contains"",""value"":""Right""}}]",Shirt
"57B3, 5AC2","[{""Front"":{""condition"":""equals"",""value"":""Placket with Removable Studs""}}]",Shirt
"5101, 5AC2","[{""Front"":{""condition"":""equals"",""value"":""Placket""}}]",Shirt
"518B, 5AC2","[{""Front"":{""condition"":""equals"",""value"":""Plain Front""}}]",Shirt
"5103, 5AC2","[{""Front"":{""condition"":""equals"",""value"":""Hidden Button""}}]",Shirt
538A,"[{""Pockets"":{""condition"":""contains"",""value"":""Left""}}]",Shirt
538B,"[{""Pockets"":{""condition"":""contains"",""value"":""Right""}}]",Shirt
5313,"[{""Pockets"":{""condition"":""contains"",""value"":""Round""}}]",Shirt
5312,"[{""Pockets"":{""condition"":""contains"",""value"":""Hexagon""}}]",Shirt
5140,"[{""Back"":{""condition"":""contains"",""value"":""Plain Back (No Pleats)""}}]",Shirt
5144,"[{""Back"":{""condition"":""contains"",""value"":""No Side Pleats With Darts""}}]",Shirt
5141,"[{""Back"":{""condition"":""contains"",""value"":""Side Pleats & No Dart""}}]",Shirt
5171,"[{""Back"":{""condition"":""contains"",""value"":""Split Yoke""}}]",Shirt
5170,"[{""Back"":{""condition"":""contains"",""value"":""Normal Yoke""}}]",Shirt
5610,"[{""Buttonhole Thread"":{""condition"":""equals"",""value"":""Match Fabric""}}]",Shirt
